0.07222,0.13981,-0.8782,1.1259,-0.095897,-0.62395,-0.73932,0.29802,0.8175,1.2207,1.0532,0.92482,-0.26414,-0.82566,0.67404,1.072,0.80435,-0.2771,-0.21146,1.7139,4
0.1038,0.64353,0.22779,0.5105,-0.92736,-0.35233,-0.83885,0.016493,-0.24971,-1.2068,-2.1288,0.18187,0.96012,1.8145,-0.1429,1.1439,-1.1243,-0.22045,0.54036,-0.1642,16
0.41428,-2.0082,0.33406,0.68072,-0.51377,-0.79629,-0.049941,-0.44967,-0.75838,-1.0724,-0.56982,-0.59831,-0.026555,0.78582,-0.54368,-0.6377,2.1312,-0.48209,-0.56808,-0.37876,37
-0.81654,-1.4243,-2.1902,0.072391,-0.41539,-2.0439,-0.99284,0.26212,-0.012065,-1.8798,-1.1572,0.72181,0.53507,1.2204,0.033947,-1.2234,0.55302,-0.97954,0.95198,0.067885,30
0.11694,0.67604,-0.79563,0.0037376,1.3003,0.22192,-0.56035,-0.97397,0.96234,0.46496,-2.1318,-1.6614,-1.2015,-0.28017,-0.53005,-0.47023,-0.050641,-0.043111,0.32746,-0.099444,6
-0.75891,-0.35601,0.23699,0.30494,0.23716,0.56115,-0.87958,-0.21834,-0.42208,-1.0588,0.78294,2.2151,-0.31933,0.029264,0.46691,0.18792,-0.9142,-1.1644,1.6102,0.42142,24
0.5156,-1.1041,1.3282,-0.32611,0.51931,0.36887,0.13356,-0.65823,-1.4247,0.2254,0.52729,-0.41935,0.38995,-1.6988,0.64452,-0.46983,0.018807,0.17843,-1.8989,-1.0431,31
-0.37447,1.1841,-0.11309,-0.33342,3.016,0.1534,0.97618,-0.38881,-0.97042,-0.40937,-1.0864,-1.0837,-2.5247,0.39343,-0.78901,-0.92096,0.70564,0.77306,-0.77995,-0.22353,20
0.49917,0.5372,2.1551,0.91207,0.078168,-0.32506,-1.4481,0.033125,0.39441,1.0886,-0.92386,0.16299,-0.84716,-1.3541,0.14538,-1.3139,1.3179,-0.31351,0.43142,-0.46063,32
-0.25599,-0.27507,-0.93775,-0.43647,-1.2022,-0.68893,-1.8085,0.73055,-0.20119,-1.7689,-0.28992,-1.5763,0.18359,0.83694,-0.35281,-0.01592,0.12124,0.41154,0.98436,-0.012002,7
0.63732,1.4755,-0.34132,0.68192,0.50419,0.34171,0.31427,-0.85735,-0.36574,-0.7661,-0.48213,-1.334,-2.3037,-0.3199,0.30388,-1.054,-2.3528,-1.3545,-0.26272,-0.11839,32
-0.36116,1.3628,-0.89785,1.4525,0.63529,0.42146,1.7487,0.045303,0.33903,0.34243,0.5496,0.17992,-1.9336,0.36628,1.2628,-0.10683,0.39777,0.1831,1.4118,0.86039,32
0.29841,-0.67174,1.2708,-0.0095141,0.45778,-1.3304,-0.75093,-0.65995,1.0043,0.92808,-0.036629,0.2746,-1.3138,0.58422,1.1254,0.75113,-0.078407,0.23035,0.065907,-0.30997,6
