-33326,3092.8,-32125,16218,-13086,13695,-9251.6,42957,-3146.9,-9180.4,7514.8,-7001.3,-1766,-353.75,395.78,-879.17,489.43,-282.54,-920.91,396.9,15
7137,-1156.5,669.11,-756.8,-577.64,-2749,-140.08,175.13,-25.468,-308.01,-197.25,201.98,19.177,-366.08,290.59,155.89,289.19,115.38,-61.558,-50.918,32
13981,-449.44,241.83,-536.17,-775.67,-225.99,-158.86,116.92,-19.331,345.19,-0.47971,-341.15,-37.956,-569.65,-492.1,-90.096,-83.885,-295.18,115.85,49.093,13
16902,2420.2,302.96,305.26,549.86,-166.96,594.16,-155.53,518.75,-1486.7,-246.58,505.75,36.66,-521.55,41.696,-141.58,97.742,-325.89,103.12,50.072,8
11121,25.994,934.86,-660.73,-151.36,-1549,677.31,-103.07,507.07,-1932.2,-422.33,672.79,48.569,239.51,263.08,-401.21,-158.53,99.546,118.14,33.588,9
15401,809.01,-303.62,120.41,-53.772,-342.47,-460.01,160.93,-179.19,803.29,83.941,-260.05,-11.579,-531.24,-567.3,263.34,73.116,75.988,-34.357,-21.133,4
25300,5114.8,-862.32,1569.2,1082.8,2161.3,12.412,-97.855,268.94,313.72,205.52,-284.41,-31.97,485.53,-677.02,-183.4,-144.7,-179.33,105.11,74.504,33
3716.8,-2273.4,971.45,-1166,-998.58,-3617.2,-201.61,246.43,-87.099,-264.58,-249.62,184.55,1.5754,534.23,273.22,169.05,490.93,-11.204,-60.288,-36.275,4
4850.6,-1341.9,893.19,-843.56,-897.81,-3395.6,-191.64,202.56,-20.151,-171.03,-31.565,14.263,-0.44292,-384.25,515.66,215.34,7.451,-397.24,-111.92,13.58,28
12355,155.43,260.14,-336.63,-216.79,-1226.1,-41.204,59.793,49.587,-281.13,-1.1368,63.49,0.86815,525.37,-321.41,203.3,-282.97,-251.38,-79.025,37.1,26
-44097,7681,-34539,13952,-15563,3549.3,6914.1,-41902,676.57,18786,-4472.7,1634.6,1364.9,121.25,619.93,-29.726,-89.356,194.01,-12.374,703.19,16
9254.5,-629.9,595.5,-551.76,-988.89,-1819.2,-267.67,207.83,-18.077,423.97,8.6013,-344.42,-26.978,-436.15,288.93,-233.34,111.4,-260.68,79.586,16.559,1
19179,2800.6,-265.99,618.21,1085.1,267.24,332.84,-133.9,310.58,-1088.2,-205.49,571.64,55.443,-549.32,-534.59,305.9,70.391,71.72,-29.944,15.752,10
5947.7,-1135.9,805.2,-789.13,-816.96,-3072,-163.48,185.47,-13.406,-188.83,-31.196,37.416,1.1001,328.38,498.57,-40.92,-361.75,13.999,-97.253,8.5423,25
4558.2,-1742,886.05,-967.53,-830.26,-3474.4,-187.91,226.46,-52.536,-276.76,-218.28,190.76,7.4784,565.75,318.45,151.51,506.42,-20.655,-62.29,-33.776,10
4719.1,-1665.1,863.83,-937.18,-801.14,-3444.7,-191.56,223.96,-52.481,-268.25,-209.5,191.71,8.1524,549.29,344.87,156.45,497.35,-18.882,-69.646,-36.552,10
19549,2971.3,-300.87,753.8,324.14,750.64,-53.305,10.48,167.5,290.85,107.48,-254.3,-26.709,-91.762,-80.403,-439.43,-413.04,225.15,97.589,6.0627,16
1982.8,-4745.9,-285.69,-1112.4,-3470,-2970.9,-2892.8,1081.3,-1642.6,6576.3,986.92,-2843.8,-223.73,-376.15,-78.76,72.359,113.51,166.08,-92.481,-75.438,17
