0.65483,0.26678,-0.21866,0.32284,1.506,-0.4041,1.3782,-1.6287,2.3703,-0.74567,-0.50307,1.9261,8
-1.1844,-0.54352,1.1651,0.013548,1.9594,-0.30141,0.75813,2.078,0.69502,0.77018,-0.08415,-1.1477,31
-1.3673,0.63383,-1.1678,-0.42734,-0.24721,-0.52798,-0.85894,0.24484,-1.3246,0.27769,0.59698,-1.5784,32
-0.25603,0.13187,-2.4486,2.0771,1.6836,3.0825,-0.5577,-0.18366,-0.80835,0.069858,-1.8662,1.7549,29
1.5312,0.26445,-2.797,-0.99205,-1.2394,-0.27113,-0.25237,2.0058,-0.74951,-0.88981,0.21614,-0.4285,33
0.8579,0.6065,0.78313,-1.3086,-0.77159,0.23299,-2.6977,0.4725,0.61064,0.31998,-1.1342,1.3322,37
-0.53524,-2.4548,-0.69775,0.66106,0.57986,-0.039583,1.0137,-0.52204,-0.47803,1.369,-0.6775,-2.4022,31
0.9462,-0.38013,0.58401,0.71215,1.7919,-1.3204,1.1327,-1.1737,1.614,-0.98321,-1.3217,2.4312,33
0.31403,-1.7099,-1.6438,0.30471,-0.87373,-0.19,1.6191,1.103,1.1617,-1.8471,-0.62638,-1.453,37
-0.15021,-0.29071,3.444,-0.6801,1.6951,-1.0717,0.32752,-0.23339,-0.83151,-0.29351,1.0345,1.2281,37
1.7238,0.54408,-0.21768,0.14752,0.69566,-0.13972,0.23802,0.91723,0.13539,2.8985,0.66522,-1.7192,30
-0.43035,2.4039,0.57381,0.12533,-1.2942,-1.6289,-1.2987,-0.34908,1.0102,-1.2889,2.1754,0.92133,35
-1.7755,1.9674,-0.35699,-0.25643,0.65663,1.0145,1.4455,1.6335,0.79174,-1.8239,-0.020644,-0.18082,3
-2.1078,-0.6779,-0.98304,-1.2716,1.5169,-0.76466,0.79665,0.38736,1.7207,-0.4745,0.64669,-1.2862,37
-15.261,6.3069,2.6,18.095,30.814,33.558,-2.1685,-27.137,22.377,10.784,-52.136,1.0075,17
1.3277,-0.36395,0.80481,1.3732,-0.7662,-1.3033,0.99719,-1.5241,0.38887,1.1546,-1.6029,-1.2775,32
1.3335,-0.56179,-1.2331,-0.49256,0.74564,-1.5447,0.6681,-2.0735,-0.63524,0.85718,0.91195,-1.5195,23
1.1457,0.45979,-0.28922,1.4684,-1.5584,-1.2441,1.8166,-0.90758,-0.53464,1.6337,0.15887,-1.3577,32
0.62917,0.94628,1.2356,1.2901,-0.18586,-1.3819,2.074,-0.48445,-0.19297,-0.73944,1.4596,1.9408,29
0.76779,1.757,1.1893,0.18017,0.70032,0.16817,-2.3449,0.27652,1.9054,-0.83494,2.61,0.44944,8
0.5374,3.6704,0.11237,-1.9287,0.32426,-0.34148,-1.3584,-0.13907,-0.40356,0.42354,-0.035601,-0.40538,8
0.109,-2.13,-1.388,0.098516,-0.59858,0.36422,1.2044,0.52395,1.3247,-1.6374,-0.2856,-1.2444,37
-1.6207,-0.30938,0.66106,0.30769,1.7146,-0.093292,1.6875,1.7722,-0.7029,-2.0419,-0.77583,-2.0214,34
0.86767,0.6612,-1.7589,-0.29368,-0.11713,-0.6034,0.37764,1.0858,1.1712,2.612,0.86213,-1.4269,3
-0.90998,-0.6048,-0.93747,0.56873,-1.1143,-1.2795,-1.5582,-1.555,1.5255,0.34275,0.99174,2.5772,25
-2.4517,-0.46009,0.13946,1.5656,0.21833,1.0309,-0.89459,-0.6446,1.5779,0.61878,0.86809,2.042,31
0.67848,0.42318,-1.0235,0.61755,0.55609,-0.62615,-0.14928,1.0682,0.19312,2.6181,1.5768,-0.98198,5
-1.2295,-0.40432,2.0878,0.032464,-0.21538,1.0866,1.3502,0.97908,-1.1472,0.52751,-1.7938,1.7788,2
3.05,0.17778,0.89383,1.4311,-0.48671,0.62237,-1.5427,-0.64131,0.16483,-0.93194,-0.27458,0.1749,37
0.13004,1.6771,2.4799,1.0366,-0.8723,0.3122,-0.25652,-0.71965,-1.2513,0.53254,0.55385,2.1968,12
0.81229,0.55035,-0.25157,1.8191,0.66977,0.37722,0.73673,-2.0509,1.9184,-0.12472,-0.1272,2.0115,36
