0.84456,-1.4979,0.51369,-0.88353,-0.11405,0.094337,-0.15191,-1.1288,0.95805,1.6719,1.1263,0.046912,-3.4144,3
0.1893,1.5355,-0.9187,2.047,-1.4223,-0.49673,0.61462,0.27759,0.98902,0.98071,-0.32895,1.1114,-1.3185,24
0.51694,0.078632,-1.879,-0.66161,-0.13772,1.1685,-1.3093,-0.3161,1.7762,2.0517,0.28858,1.5466,-1.4152,33
0.71333,-1.079,-1.7597,2.5491,1.8618,0.95317,0.60618,0.60224,1.244,0.51394,0.0775,1.8216,0.63694,20
3.7549,-1.2438,1.8581,3.4976,1.4149,0.77312,0.87884,1.5544,-0.068546,-1.7475,-0.24658,1.3084,1.423,34
-2.3434,1.6635,0.025381,0.78046,-0.060108,-0.25569,1.4104,-0.87193,0.14476,-0.68534,-0.63855,-1.2933,-2.2997,37
-0.4667,-0.4541,-0.87422,-1.5867,-0.25398,1.9549,1.4113,-1.0863,-1.9287,1.543,-1.4457,-0.92124,-0.31374,34
0.50734,1.5339,-0.87927,1.8377,-1.6003,-0.22163,0.55932,0.022457,1.125,0.96527,-0.39303,1.2222,-1.4124,23
0.163,-1.7233,0.49151,-3.3608,1.0689,1.6524,-0.3684,0.10731,-0.12897,1.0949,0.6743,0.28013,0.24017,11
-1.3017,-1.1793,-0.11688,0.47047,-0.26313,0.50055,1.1475,0.086109,1.0304,1.0274,-0.96356,-0.79161,-2.5726,32
-1.3578,-1.0513,-1.6772,0.02469,-0.16386,1.0891,-1.3029,0.38975,-0.34889,-2.6182,1.0114,3.8001,0.96873,37
0.066093,-1.0051,0.57944,-0.14117,0.78821,-1.4125,-0.1142,0.88884,0.35075,2.2822,1.3635,-1.4711,-1.5787,7
-1.2222,2.6077,-0.85796,0.38803,0.51149,-1.7114,-2.3115,0.20443,1.2399,0.36669,0.098435,0.43458,-1.2787,9
-0.94008,-1.08,0.74915,-2.9597,0.29135,1.5313,-0.40847,0.45086,1.0758,1.2021,0.55226,-0.59634,0.35483,35
0.23213,-1.5177,0.19106,1.7989,-0.47895,0.76969,-2.0539,-0.55704,0.89004,-0.63578,-1.1302,2.5847,0.14387,24
0.72172,-0.98832,-1.8037,0.53381,-0.48764,-0.67219,-1.2243,1.5011,-1.2154,-0.20903,1.17,2.264,0.50404,4
-0.72167,-0.8522,0.92218,1.0695,0.63769,0.41506,-0.47863,-1.1436,1.2506,0.26891,0.5446,2.7184,0.59794,15
0.029575,-0.48351,-0.61745,1.502,-0.043444,2.0439,-0.062546,-0.85797,0.42078,0.64986,0.10282,2.9198,0.93631,4
-2.6664,0.028972,1.592,-1.7563,0.015019,-1.2761,-0.80719,0.42935,0.39665,1.2407,0.28409,-0.32303,-0.17109,34
-0.68537,-1.1248,2.6118,-4.2078,0.5697,2.4726,-1.2074,-0.28693,1.2903,3.1481,1.8209,1.6683,-1.345,22
-1.1845,1.892,3.338,0.0065903,2.5943,-3.1464,-2.5501,-2.0976,-0.0071667,-1.8424,-3.4195,0.16178,-0.27665,32
0.9644,-1.1156,-1.4975,1.4925,-0.82199,-1.3081,-0.73937,1.6452,-0.91687,-0.012037,0.89727,1.7377,0.63808,12
-1.0821,1.0274,-1.6605,0.19818,-0.063332,-0.28701,-1.9681,0.13802,1.1622,1.0083,1.9985,0.65099,-1.8152,24
-2.6014,-0.54982,-1.423,-0.82441,-0.49767,-1.6063,-0.8761,-0.81062,-1.0339,0.84976,-0.54824,0.071998,-0.12673,6
