-0.90988,2.7967,1.2843,2.5958,1.6504,-1.0932,1.3998,-0.37598,-1.1799,0.44067,2.3369,32
0.55711,-0.5349,-1.2887,0.72495,-1.0206,-2.8589,0.10688,1.1758,0.39433,-1.0257,-0.46264,26
0.4641,-0.35835,0.27225,0.62579,-0.57798,-2.7181,-1.7366,0.90401,-1.8297,0.84291,-1.697,3
0.57277,-2.296,-0.5007,0.70685,-0.57418,-2.9181,1.4473,-0.088982,-0.6046,-0.44287,-1.2116,19
0.071385,1.8308,0.37183,0.78376,0.11093,-0.31903,-0.49442,0.2613,-0.39647,-1.4489,-0.88959,3
0.72006,-1.2182,-1.0685,0.57981,1.2639,-1.2017,0.62248,2.0882,-0.94907,0.17896,-1.034,33
-1.0356,0.50716,-0.15711,1.0567,0.38221,-0.87479,0.35373,-1.942,-0.77365,1.0353,-0.17088,4
-0.89685,-1.1718,-0.063813,-1.0516,-0.83247,1.1538,0.65061,-2.542,-1.6867,-1.1594,-1.2121,5
1.0204,-1.002,-1.5514,-0.93996,-0.21242,-0.79999,-2.3946,0.05807,2.0293,-0.031307,1.7227,24
-1.2211,-0.56659,1.3973,1.116,-0.47412,-1.1775,-1.7428,0.3106,-0.88185,0.48631,-2.4897,2
0.75912,3.1093,0.2847,0.22185,-0.62312,1.2087,0.10561,0.96415,1.2541,1.3402,0.75799,32
1.0431,-0.96371,0.26419,-1.4484,-1.0439,0.57713,-1.6952,0.73948,1.8658,-0.18817,2.1204,26
-1.0316,-0.73334,2.284,0.85271,2.175,-0.26387,-1.9844,-1.0794,-0.65811,-0.24581,0.29565,31
1.3862,-1.3518,-1.0689,-1.1232,0.71482,0.098552,0.94611,-0.40874,-0.95511,2.5775,0.91311,29
-0.25536,1.4714,-0.69683,2.0328,1.3202,1.0237,-1.2991,-0.0067913,-1.7066,0.85731,1.3176,32
1.8714,-0.06354,-0.87307,-0.33368,-0.44495,-1.6323,0.49003,-0.12345,-0.30711,-0.13166,3.1194,14
-0.25912,-0.28327,1.5295,-1.03,1.9319,-0.36353,-0.98154,-0.82862,0.82354,-2.6714,0.1599,31
